"gene","module"
"ZNF787","black"
"ZNF790-AS1","black"
"ZNF80","black"
"ZNHIT1","black"
"A1BG-AS1","blue"
"AACS","blue"
"AAK1","blue"
"AASDH","blue"
"AATBC","blue"
"ABCA17P","blue"
"ABCB6","blue"
"ABCD2","blue"
"ABHD10","blue"
"ABHD17C","blue"
"ABHD3","blue"
"ABHD6","blue"
"ABI2","blue"
"ABL2","blue"
"ABR","blue"
"ABRACL","blue"
"ABRAXAS2","blue"
"ABTB2","blue"
"ACACB","blue"
"ACADS","blue"
"ACAP3","blue"
"ACAT1","blue"
"ACAT2","blue"
"ACBD6","blue"
"ACBD7","blue"
"ACLY","blue"
"ACSBG1","blue"
"ACSL1","blue"
"ACTR1A","blue"
"ACTR3B","blue"
"ACTR6","blue"
"ACVR1","blue"
"ACVR2B-AS1","blue"
"ADAMTS10","blue"
"ADARB1","blue"
"ADAT2","blue"
"ADCK1","blue"
"ADCY10P1","blue"
"ADD2","blue"
"ADGRG2","blue"
"ADM2","blue"
"ADO","blue"
"ADORA1","blue"
"ADPRM","blue"
"ADTRP","blue"
"AFAP1-AS1","blue"
"AFF3","blue"
"AGAP13P","blue"
"AGAP4","blue"
"AGAP6","blue"
"AGO4","blue"
"AGPAT3","blue"
"AGTPBP1","blue"
"AHDC1","blue"
"AHR","blue"
"AKAIN1","blue"
"AKAP10","blue"
"AKAP11","blue"
"AKAP5","blue"
"AKAP7","blue"
"AKAP8L","blue"
"AKIRIN2","blue"
"AKNA","blue"
"AKT3","blue"
"ALAS1","blue"
"ALDH1A3-AS1","blue"
"ALDH1L1-AS2","blue"
"ALDH3A2","blue"
"ALKBH2","blue"
"ALKBH8","blue"
"ALPK1","blue"
"ALS2","blue"
"AMBN","blue"
"AMBRA1","blue"
"AMD1","blue"
"AMER2","blue"
"AMN1","blue"
"AMOTL1","blue"
"AMOTL2","blue"
"AMY2B","blue"
"ANAPC10","blue"
"ANAPC1P2","blue"
"ANGPTL1","blue"
"ANKDD1A","blue"
"ANKEF1","blue"
"ANKH","blue"
"ANKMY2","blue"
"ANKRD13B","blue"
"ANKRD13C","blue"
"ANKRD18EP","blue"
"ANKRD37","blue"
"ANKRD44","blue"
"ANKRD45","blue"
"ANKRD49","blue"
"ANKRD50","blue"
"ANKRD63","blue"
"ANP32A","blue"
"ANP32C","blue"
"AOX1","blue"
"AP1AR","blue"
"AP2A1","blue"
"AP2A2","blue"
"AP2B1","blue"
"AP3S2","blue"
"AP5B1","blue"
"APAF1","blue"
"APBA2","blue"
"APBA3","blue"
"APC","blue"
"APLN","blue"
"ARC","blue"
"AREL1","blue"
"ARF6","blue"
"ARG2","blue"
"ARGLU1","blue"
"ARHGAP11B","blue"
"ARHGAP20","blue"
"ARHGAP21","blue"
"ARHGAP23P1","blue"
"ARHGAP31","blue"
"ARHGAP44","blue"
"ARHGEF25","blue"
"ARHGEF26-AS1","blue"
"ARHGEF3","blue"
"ARHGEF38","blue"
"ARID1B","blue"
"ARID3C","blue"
"ARID4A","blue"
"ARID5A","blue"
"ARL15","blue"
"ARL2BP","blue"
"ARL4D","blue"
"ARMC1","blue"
"ARMC8","blue"
"ARMCX5","blue"
"ARPC1A","blue"
"ARPC5","blue"
"ARPP21","blue"
"ARPP21-AS1","blue"
"ARRB2","blue"
"ARRDC1","blue"
"ARRDC2","blue"
"ARRDC3","blue"
"ASAP2","blue"
"ASB13","blue"
"ASB3","blue"
"ASB6","blue"
"ASCL2","blue"
"ASMTL","blue"
"ASMTL-AS1","blue"
"ASTE1","blue"
"ATCAY","blue"
"ATG4A","blue"
"ATG4C","blue"
"ATG4D","blue"
"ATMIN","blue"
"ATP5F1AP3","blue"
"ATP6V1B2","blue"
"ATXN10","blue"
"ATXN7L1","blue"
"ATXN7L3-AS1","blue"
"AXIN1","blue"
"B3GAT1","blue"
"B3GNT7","blue"
"BACE1","blue"
"BACH1-AS1","blue"
"BACH2","blue"
