"GeneName","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CT66",10.6394282846057,3.791863482741,1.07086455209828,3.54093659680035,0.0003987093770637,0.00116871027068612
"MRPL40P1",5.50312265570728,5.81447382409995,1.6429581844648,3.5390272735359,0.000401604357909613,0.00117663031177027
"TSIX",9.1846619073704,4.62355921944731,1.30780980445082,3.53534528011039,0.000407242650840029,0.00119257630468191
"TMPRSS12",5.3019737868285,5.76165942794817,1.63032513308432,3.53405545374131,0.000409235208346692,0.00119812354105536
"LINC01973",5.00890706794955,-5.87383302152168,1.66312870966735,-3.53179702050633,0.00041274604292899,0.0012073874047624
"JPH2",16.961177277292,2.8263434497793,0.800685120650281,3.52990629760158,0.000415706868564793,0.00121546526793942
"OR52W1",9.20186668690437,4.65511294148983,1.31898809079075,3.5293062719763,0.000416650632624833,0.00121807862405979
"DLX2",11.7737827395865,3.31599540837995,0.940220810833895,3.5268262201503,0.000420572706639429,0.00122807230338713
"OR7E14P",13.8346394692471,2.77068945170203,0.785680095056167,3.52648548580571,0.000421114246326374,0.00122950635300319
"MTND5P42",5.39479593626355,5.78828973339119,1.64556847929738,3.51750158453609,0.000435629749682133,0.00126915098061295
"DPP4-DT",5.09057250322557,5.70440939564176,1.62648078105884,3.50720983738165,0.000452831909809627,0.00131596515196404
"SMYD1",5.36154233955513,5.78013582766852,1.64917515120435,3.50486473401412,0.000456839328317819,0.00132682031007088
"RPL12P19",5.41142273461776,5.79234789193891,1.65642971155935,3.49688722166546,0.000470720787735229,0.00136534787610759
"LINC02535",11.1867695566935,3.9059453884143,1.1177614388228,3.49443562172618,0.000475065168346024,0.00137729357129759
"HNRNPA1P13",8.67557137393106,-4.7761907396469,1.36747987885777,-3.49269544180524,0.00047817153507372,0.00138564040505912
"ATP6V0A4",26.5952317103658,2.1460542373554,0.614892823262544,3.49012731351898,0.000482790486141119,0.00139802822245757
"PPP1CB-DT",15.8219158166298,2.548328677045,0.730913749129731,3.48649711416592,0.000489390663842832,0.00141596335182342
"LAYN",14.143143737479,-3.41851389572838,0.980795001186175,-3.48545199720025,0.000491306365469987,0.00142100021386586
"OR5AN1",5.07394570487136,5.7001262477573,1.63563930446157,3.48495308972397,0.000492223327732085,0.00142348347488598
"RNASE9",11.6126529532429,3.31563550930232,0.951730914432312,3.48379511374812,0.000494357772905673,0.00142880882159627
"OVOL1",24.426653895228,2.12730656799545,0.612508238525047,3.47310686484498,0.000514470464153779,0.00148535451237388
"LINC02656",5.18427127093598,5.7322335408677,1.65143328299539,3.47106577049877,0.000518397010530438,0.00149633667701588
"HPD",18.9304793267969,2.50607773620624,0.723155634999147,3.465474947463,0.000529295837419663,0.00152526782980336
"LGSN",9.2021790481196,4.65829411337089,1.34439865932986,3.46496486071542,0.000530300764597862,0.00152780258093171
"SMIM24",4.986621320791,5.67326103843143,1.63754559295494,3.46449043180169,0.00053123703749616,0.00153031916921448
"ITPRIPL1",5.27678105915581,5.75552719311911,1.6638444500283,3.45917383864893,0.00054183507359499,0.00155955882002043
"EXPH5",12.2993157611982,3.42569450444032,0.991396085127061,3.45542468427367,0.000549426667455281,0.00158029031566529
"GSTT4",10.7995043457929,3.80373729380569,1.10159680071992,3.45293059249976,0.000554531664257891,0.00159401360696237
"HM13-AS1",15.491296142982,2.80104827009875,0.812025112120723,3.44946015620551,0.000561708617582546,0.00161257264969948
"NPY5R",8.93290237878283,-3.74982208437921,1.09021083297441,-3.4395384552808,0.000582706994094834,0.00166970994594197
"HAO2",4.94311530935844,5.66185452689845,1.64681504914604,3.43806338777049,0.000585890530886065,0.00167745219869235
"DDX11L8",14.5691179475057,2.69848458646031,0.786321228267356,3.43178397002758,0.00059962499892196,0.00171435937191783
"OTOP3",4.96699310961807,5.66816172540199,1.65171561184161,3.43168138919638,0.000599851833364574,0.00171480682390609
"LINC00881",13.3024425664782,3.06303419852949,0.893327789076455,3.42879090517954,0.000606276415745706,0.00173175158958667
"LAMB4",17.1893122734474,2.33390140998892,0.680870600768028,3.42781933506346,0.000608450232534111,0.00173674005732225
"PRDM16-DT",4.66714162185117,-5.7713146819464,1.68498006246489,-3.42515309854989,0.000614453063246541,0.00175264326018685
"PDZPH1P",13.1012243850834,3.51818957014769,1.02731276213567,3.42465284168549,0.000615585475706337,0.00175566792240869
"TMEM106A",18.7309409512264,2.1974467484119,0.641983631910694,3.42290151833277,0.000619565197481618,0.00176619182099811
"OIT3",11.2488050265053,3.54083225481394,1.03511438171446,3.4207159299142,0.000624565326305631,0.0017794054435597
"ALLC",8.87065175330559,3.98474634043381,1.16693000617765,3.41472609268664,0.000638461807761763,0.00181697584893611
"CMTM2",14.7403038500648,2.89165955364535,0.847152250614832,3.41338826822061,0.000641604614502285,0.00182496543523037
