"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
2.90240987598342e-201,0.407743662150939,0.116,0.278,1.12050435672216e-196,0,"GTF3C1"
1.59348173849792e-200,0.154269004150851,0.126,0.292,6.15179559964506e-196,0,"SNX1"
4.06467309920738e-200,0.197340206726525,0.091,0.239,1.56920769668e-195,0,"SEC22C"
4.3130874343897e-200,0.381657972521932,0.092,0.24,1.66511053492049e-195,0,"FMR1"
1.08776562456602e-199,0.269480829409121,0.098,0.249,4.19942797019957e-195,0,"PPP5C"
1.52235858903082e-199,0.101868819175772,0.159,0.339,5.87721756881238e-195,0,"ATXN3"
3.47766063693587e-199,0.299151611764284,0.139,0.311,1.34258566549546e-194,0,"BBS7"
4.12684807544049e-199,0.283438676680058,0.186,0.385,1.59321096800456e-194,0,"ATP6V1E1"
9.26716980885394e-199,0.359064398478805,0.173,0.362,3.57768357640615e-194,0,"AGFG1"
1.60602567188498e-198,0.451169971733061,0.096,0.246,6.20022270887914e-194,0,"DLG5"
5.94838467714855e-198,0.479704751294927,0.248,0.481,2.29643338845997e-193,0,"HSPA4"
1.51078636119173e-197,0.236607976010452,0.078,0.217,5.8325418260168e-193,0,"AKT1"
2.62359026070692e-197,0.299855274304514,0.276,0.528,1.01286325604851e-192,0,"DDX21"
4.51998285255332e-197,0.366921379873969,0.28,0.53,1.74498458005673e-192,0,"WDR33"
6.99310879079017e-197,0.345563917199485,0.162,0.346,2.69975957977245e-192,0,"YTHDF3"
1.41099279480814e-196,0.597766303414112,0.233,0.457,5.44727878363629e-192,0,"BRD4"
1.44831043769659e-195,0.434966123740092,0.133,0.3,5.59134727577146e-191,0,"MGA"
1.95343789304619e-195,0.166424314427147,0.158,0.34,7.54144232989411e-191,0,"PPIL3"
2.9565715636559e-195,0.399956831146343,0.215,0.43,1.141414017865e-190,0,"RARS2"
3.43927494398284e-195,0.421937589026448,0.232,0.448,1.32776648487401e-190,0,"CEP350"
3.70670600093732e-195,0.300003838560745,0.148,0.323,1.43101091872186e-190,0,"IREB2"
1.3339497865879e-194,0.187952038201586,0.102,0.252,5.14984654610123e-190,0,"SLC66A2"
3.22687617472313e-194,0.138145264701361,0.059,0.185,1.24576781601361e-189,0,"CD276"
3.78290787178575e-194,0.290604986984385,0.217,0.431,1.46042941298161e-189,0,"CAPZA1"
1.14897471195631e-193,0.374704947239276,0.069,0.202,4.43573177297854e-189,0,"USP5"
1.59481759665763e-193,0.287873398852343,0.22,0.424,6.15695281365645e-189,0,"CCPG1"
4.88083324990295e-193,0.659270920215643,0.331,0.61,1.88429448445753e-188,0,"CLTC"
5.75831447099963e-193,0.115899488125346,0.121,0.28,2.22305488467412e-188,0,"ETF1"
6.49276781609273e-193,0.404338677569691,0.123,0.285,2.50659794308076e-188,0,"ARL8B"
1.28392716952655e-192,0.446634349772527,0.189,0.386,4.9567292306742e-188,0,"C6orf62"
1.92128706454819e-192,0.463459593042549,0.183,0.373,7.41732084139473e-188,0,"YARS1"
4.09617918893781e-192,0.126980329309357,0.121,0.279,1.58137093768133e-187,0,"NUP107"
8.51265335796347e-192,0.245611447540006,0.083,0.223,3.28639495537538e-187,0,"BTBD2"
1.31080524393749e-191,0.247140921285769,0.308,0.57,5.06049472474506e-187,0,"SYF2"
1.78370081560836e-191,0.34860068532367,0.156,0.334,6.88615536873762e-187,0,"ZBED5"
5.38556911511469e-191,0.279686272224915,0.114,0.269,2.07915281258118e-186,0,"RPAP3"
2.10340635219794e-190,0.293499405428832,0.083,0.221,8.12041056329536e-186,0,"DNM2"
2.49382627305074e-190,0.252294887566737,0.11,0.263,9.62766570973968e-186,0,"WDFY1"
2.90778851870274e-190,0.280849445471653,0.164,0.344,1.12258083553038e-185,0,"TOGARAM1"
1.67152046494632e-189,0.163025452179424,0.203,0.405,6.45307190697176e-185,0,"MRPL32"
3.54128361625959e-188,0.391104300819904,0.148,0.32,1.36714795289318e-183,0,"NUMA1"
7.91713267436038e-188,0.40614165991914,0.155,0.33,3.05648824026357e-183,0,"API5"
8.03345185512053e-188,0.264922316093383,0.224,0.441,3.10139442318783e-183,0,"GOSR1"
4.54074282838247e-187,0.287666285481954,0.243,0.466,1.75299917632534e-182,0,"GNL3"
4.87325782609668e-187,0.151656273744779,0.113,0.266,1.88136991634288e-182,0,"CCZ1"
5.29297807462116e-187,0.224316180320501,0.118,0.273,2.04340711548824e-182,0,"NAMPT"
5.84229468671606e-187,0.456183208699864,0.133,0.298,2.2554762867536e-182,0,"CDC16"
1.64230845357738e-186,0.286155624215808,0.291,0.544,6.34029601588085e-182,0,"CIR1"
3.32361306879085e-186,0.544657982856357,0.188,0.378,1.2831140613374e-181,0,"GPI"
4.15508400501643e-186,0.215284194091528,0.069,0.197,1.60411173097664e-181,0,"PSME3"
4.53828351163532e-186,0.290128937796172,0.135,0.299,1.75204973250193e-181,0,"SDAD1"
5.01303189452953e-186,0.345483540846673,0.339,0.622,1.93533109320207e-181,0,"ARF1"
7.35073542141585e-186,0.15485079670921,0.106,0.255,2.8378249167918e-181,0,"PACRGL"
1.40365936395564e-185,0.277693744903671,0.056,0.176,5.41896734048716e-181,0,"AKT2"
4.92742612720232e-185,0.10373426320864,0.115,0.268,1.90228213066773e-180,0,"NFKBIL1"
8.59023899712566e-185,0.383998622978459,0.219,0.426,3.31634766723033e-180,0,"UQCC6"
9.25238894154523e-185,0.314695845986074,0.126,0.285,3.57197727477295e-180,0,"NVL"
1.57820481695521e-184,0.215713889209597,0.11,0.26,6.0928175163373e-180,0,"WDR75"
3.77490785972595e-184,0.119293926334021,0.098,0.241,1.4573409283258e-179,0,"GNPAT"
5.34686683918537e-184,0.124538593496531,0.494,0.847,2.0642114119359e-179,0,"SEC61G"
8.21150504311623e-184,0.503506201590327,0.147,0.318,3.17013363694545e-179,0,"CCNL2"
3.1942724454891e-183,0.304278108491718,0.092,0.232,1.23318082030552e-178,0,"ANAPC7"
4.27716247112356e-183,0.185192999345215,0.13,0.289,1.65124134360196e-178,0,"INTS12"
5.68848783811277e-183,0.292674147756008,0.141,0.306,2.19609761478182e-178,0,"WDR20"
6.50347933906022e-183,0.396912345900385,0.252,0.479,2.51073323363759e-178,0,"BRD2"
1.0584930839931e-182,0.343438479311407,0.088,0.227,4.08641840006377e-178,0,"KDM4A"
1.59807196601009e-182,0.20755190278799,0.098,0.236,6.16951663197857e-178,0,"EFNA5"
1.83845811833449e-182,3.48316743802021,0.038,0.005,7.09755141164212e-178,0,"DLX6"
4.58118874555531e-182,0.162575613966296,0.16,0.335,1.76861372710908e-177,0,"NUP54"
5.5004965853698e-182,0.664705333217251,0.138,0.304,2.12352171174786e-177,0,"AP3D1"
1.26549451543412e-181,0.366372254193101,0.169,0.351,4.88556812628498e-177,0,"TIMM17A"
4.24189022641826e-181,0.343581241752008,0.148,0.317,1.63762414081103e-176,0,"C19orf25"
