"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"STAG12",1.57701556073733e-09,0.182562296553636,0.818,0.603,6.08822627378254e-05,"7","STAG1"
"NPEPL12",1.58083200792655e-09,0.112842625306497,0.129,0.049,6.10296004980125e-05,"7","NPEPL1"
"MAMDC22",1.58237458437124e-09,0.465142755536409,0.208,0.099,6.1089153204236e-05,"7","MAMDC2"
"LMNB21",1.5891999253439e-09,0.278785230388916,0.228,0.11,6.13526523178266e-05,"7","LMNB2"
"LGALS3BP2",1.59948231587872e-09,0.838001855242723,0.251,0.133,6.17496142868139e-05,"7","LGALS3BP"
"LINC02172",1.60723399518525e-09,3.76114794407525,0.013,0.001,6.20488756181218e-05,"7","LINC02172"
"FANCA2",1.61008219458195e-09,0.247192359356697,0.228,0.109,6.21588332040307e-05,"7","FANCA"
"ESCO22",1.64500237149797e-09,0.560012218858273,0.155,0.065,6.35069615540506e-05,"7","ESCO2"
"ENSG00000287468",1.6519672017448e-09,2.14252690206282,0.013,0.001,6.37758457905596e-05,"7","ENSG00000287468"
"RGS52",1.67583760798526e-09,1.41634065971899,0.086,0.028,6.46973866938789e-05,"7","RGS5"
"CCDC1384",1.68258091382335e-09,0.1334005128079,0.462,0.265,6.49577187590644e-05,"7","CCDC138"
"MMP112",1.68754463317259e-09,2.96556817270619,0.04,0.008,6.51493481082609e-05,"7","MMP11"
"PARPBP2",1.72025643826875e-09,0.244936592526265,0.182,0.08,6.64122200558033e-05,"7","PARPBP"
"ZRANB32",1.80191477122221e-09,0.258743446184249,0.564,0.367,6.95647216578045e-05,"7","ZRANB3"
"PDE6A",1.80696296915652e-09,1.20144813233161,0.03,0.005,6.97596123872565e-05,"7","PDE6A"
"LMO73",1.816573143855e-09,0.49561042296029,0.234,0.118,7.01306227916661e-05,"7","LMO7"
"ACP42",1.82229656247821e-09,1.96677253025525,0.046,0.01,7.0351581091034e-05,"7","ACP4"
"MGST21",1.85844023137477e-09,0.118119894929353,0.257,0.128,7.17469435724546e-05,"7","MGST2"
"H2BC101",1.8769986089329e-09,1.48067558785883,0.063,0.017,7.24634082964636e-05,"7","H2BC10"
"VPS13B2",1.87857598953021e-09,0.253419000347432,0.723,0.51,7.25243046518033e-05,"7","VPS13B"
"TFEB1",1.8817925243463e-09,1.28127314637699,0.043,0.009,7.26484821949133e-05,"7","TFEB"
"ENSG000002845262",1.90093572525867e-09,0.684921814292369,0.178,0.08,7.33875246093361e-05,"7","ENSG00000284526"
"RBPMS22",1.90591304445948e-09,1.65292787081919,0.059,0.016,7.35796789944026e-05,"7","RBPMS2"
"CSTF11",1.97081916939282e-09,0.274892262684228,0.251,0.125,7.60854448535793e-05,"7","CSTF1"
