"gene","module"
"RNU6-783P","black"
"RNU6-874P","black"
"RNU6-875P","black"
"RNU6-887P","black"
"RNU6-976P","black"
"RNU6-99P","black"
"RNU6ATAC11P","black"
"RNU6ATAC22P","black"
"RNU6ATAC29P","black"
"RNU7-115P","black"
"RNU7-182P","black"
"RNU7-186P","black"
"RNU7-38P","black"
"RNU7-41P","black"
"RNU7-43P","black"
"RNU7-55P","black"
"RNU7-59P","black"
"RNU7-93P","black"
"RNVU1-8","black"
"RNY1P3","black"
"RNY1P7","black"
"RNY4P18","black"
"RNY4P24","black"
"RPA3","black"
"RPAP2P1","black"
"RPEP2","black"
"RPL10AP5","black"
"RPL10P13","black"
"RPL10P17","black"
"RPL12P10","black"
"RPL12P42","black"
"RPL12P6","black"
"RPL15P4","black"
"RPL17P34","black"
"RPL21P120","black"
"RPL21P18","black"
"RPL21P4","black"
"RPL21P40","black"
"RPL21P5","black"
"RPL23AP23","black"
"RPL23AP66","black"
"RPL23AP96","black"
"RPL24P2","black"
"RPL26P3","black"
"RPL30P13","black"
"RPL31P11","black"
"RPL31P17","black"
"RPL32P33","black"
"RPL35AP27","black"
"RPL35P1","black"
"RPL35P9","black"
"RPL36AP51","black"
"RPL36P2","black"
"RPL3P7","black"
"RPL5P22","black"
"RPL5P33","black"
"RPL7AP69","black"
"RPL7L1P10","black"
"RPL7P12","black"
"RPL7P41","black"
"RPL9P7","black"
"RPLP0P2","black"
"RPRML","black"
"RPS14P4","black"
"RPS15AP1","black"
"RPS23P8","black"
"RPS26P31","black"
"RPS26P4","black"
"RPS27AP12","black"
"RPS29P1","black"
"RPS2P45","black"
"RPS2P5","black"
"RPS3AP24","black"
"RPS3AP46","black"
"RPS3AP50","black"
"RPS3AP9","black"
"RPS6P12","black"
"RPS7P12","black"
"RPS7P3","black"
"RPS8P4","black"
"RPSAP12","black"
"RPSAP4","black"
"RRAGD","black"
"RSF1-IT2","black"
"RSPH10B","black"
"RUNX3","black"
"S100A16","black"
"S100A6","black"
"SAG","black"
"SAXO1","black"
"SCGB2A2","black"
